"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"1ec3c9f0-0262-4487-9d62-312a5ec49d46","10","32","32","2","3",
"f6d567ce-8e21-41dd-8027-ed2ac94fe94f","10","25","89","15","4",
"04b35118-c515-47e2-90bb-b2be558fd390","10","31","65","6","5",
"74e8d288-bd18-4d1d-ba13-eace7e88686a","10","34","124","24","6",
"cb83ecc2-c402-491c-b594-488e4a87159b","10","23","33","2","4",
"3e91f33b-f6cc-4a5f-b53c-f1eda1cfb362","10","25","99","20","3",
"55b74e5b-a4f0-4330-86ca-0f7c200a638d","10","42","98","14","5",
"736c520e-ddff-4d10-904c-6130033bef2e","10","34","23","0","2",
"2d2fffbc-aa6c-468b-8bc5-6facf804f2da","10","32","116","23","6",
"a2b193cf-dc81-445a-9445-67cb8a15dcc3","10","45","100","14","5",
"293fdc3b-ef40-46c2-ba65-a41c3419844e","10","35","26","0","5",
"5493105d-e1d5-4775-8669-1f2f5f6c3ceb","10","37","79","9","4",
"8cf72698-8938-4479-a92c-f5ad972d31da","10","28","102","20","5",
"8062d3f9-f165-4a9c-a9be-ecbabbf10ee4","10","35","71","9","4",
"e2d31ae4-9bf8-486a-b998-dc9f403bae93","10","30","126","22","6",
"a96feec3-73c7-4a83-8500-9d91e27833ae","10","33","80","9","5",
"f58c2bd0-b365-45f7-b592-538f9c83a1ad","10","33","133","25","7",
"dd9b311b-0592-4d39-9d0e-61cd8c54cf7b","10","40","153","32","6",
"57fabc94-81e9-4ab5-b0a3-b8efd1396478","10","28","86","14","4",
"5cb92a00-13e7-468d-91a7-99dbdcca321b","10","37","97","13","6",
"6921b309-4987-40cd-abab-ebcfafce1a8e","15","77","56","2","8",
"63e4e538-6d7e-4b04-8bbb-1dbf767618dd","15","89","231","41","8",
"22ed0786-8788-454b-8405-2beeec8520c6","15","78","147","22","6",
"fcd5fc99-fee9-480b-b5fb-dd816335d288","15","85","305","60","11",
"56a9af34-4090-4f65-b02c-e3862064230c","15","102","401","88","13",
"01f5b8d8-c090-4911-b62c-1de8ada9e3b9","15","70","46","5","3",
"a1708724-39da-42ce-addf-9d87b171c944","15","96","182","26","7",
"0e4a2f77-694b-4deb-830d-ed5b6580f7f5","15","71","43","0","6",
"69360ea3-eb00-4244-aacc-d5bc7abceb20","15","75","36","0","8",
"e0a60794-291d-495d-a27f-89882b3f32b1","15","69","218","41","7",
"13cc776d-db1f-43d8-9e3f-078fa7018358","15","80","238","44","8",
"894d88ab-b3b4-418f-a165-d5469c0ace3a","15","84","132","12","7",
"8d4dddc8-8d83-4e53-a22a-ca1958c07e19","15","88","149","16","8",
"7b02d606-9d13-4e06-a619-c4651e0cfaf2","15","92","278","54","10",
"e5eb7486-4f45-4656-b523-3b7e3cadda20","15","71","130","19","6",
"77122338-ca09-4e67-bdca-e91f645b5d28","15","88","62","2","10",
"846fa534-a8e6-4ea9-991e-da4340c64d33","15","88","44","0","10",
"ff58864f-6a2e-4b2b-b62a-2d1ff768bb21","15","76","27","0","5",
"934419e2-6367-4cb3-a009-410063c1732c","15","76","253","48","8",
"7eba0d85-01e1-40cb-9106-0c7c19af2a5b","15","87","74","5","8",
"95262f36-4d6c-46bf-ac94-b9a1d9a9dcde","20","170","678","157","15",
"2e6f1dee-2214-402d-b828-8ae8fdc3c86d","20","147","70","2","7",
"aab5ada6-62b8-418a-8b00-544c9e75a4af","20","155","94","5","11",
"3ac86ef3-6245-4f8a-b13e-62fe05112e90","20","145","233","35","9",
"2596a2dc-4ceb-42af-b3a0-b94776dd12cc","20","159","324","53","10",
"3f6585e9-2c89-41a1-ba40-3826949068b8","20","141","331","59","9",
"295c97e2-e179-4984-95b9-71744ba0d371","20","129","368","68","9",
"7856cce2-c17e-4a45-8857-ad21e2e7e50c","20","163","76","2","12",
"8e70aabb-a49e-46cf-85ef-27bf0a506e8e","20","145","207","27","8",
"69482086-637b-4fbb-af24-c1060e139030","20","153","556","111","15",
"09989a65-a6c4-4677-823b-cebd74b3d120","20","152","614","142","12",
"dcd9fd1d-3f0b-40ef-be2c-431ab2815a67","20","137","161","20","9",
"982c566b-498b-4b78-8a51-4fed31f79e72","20","122","262","42","9",
"49f1f2ea-1a81-4a57-b6dd-86b2585b2b18","20","136","442","84","12",
"dd66f0a1-6dfd-4b17-97f1-a8ef790b8f67","20","145","595","128","14",
"4ef6c00f-53ab-4379-8b5c-6a3607db0941","20","117","416","82","11",
"6d00c2ad-6319-4384-a654-6650fb5d45b2","20","152","128","10","11",
"3da1ebeb-806d-4441-95be-3c954d2a63a2","20","124","198","25","7",
"6df9a046-91b0-4bd0-a5b5-faa145f9cef0","20","132","195","24","9",
"fcf6fed1-1406-436f-b4cf-704dd5369eb1","20","137","476","101","12",
"54845e82-fdf9-4d94-a8d1-870f972f50b0","25","237","671","120","16",
"d715696a-98c7-4dc8-a164-652ecd08f856","25","188","717","152","14",
"72759684-94fd-4e02-bf81-7c8e0a7b5ba3","25","245","119","7","12",
