"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"2759c353-6fc2-4ade-97b8-05422fd8a15a","10","29","30","2","3",
"a7a9c854-b44e-4614-9aeb-44f32447f56d","10","28","41","5","3",
"5ac4f778-66c4-4b0c-b8b0-84adf8b63a1f","10","28","27","2","2",
"557fc5a8-77b7-4956-aeea-d7f4f9f54c22","10","32","58","7","3",
"fe79045e-8be8-4d0d-ad0e-5a937d1b35ee","10","36","55","5","5",
"cd1386af-2860-4a46-b75e-970815a7ec5b","10","33","60","7","4",
"bece3b34-6277-4b90-b80c-4dd1d2ba1131","10","34","38","0","5",
"6b64daae-9520-48e8-9a9f-09cda4908a46","10","39","133","22","7",
"57d5eae0-1966-4752-94eb-9a444dfcfe4a","10","39","116","20","6",
"5c6fdf69-2d1d-4019-a086-735713b1f788","10","37","75","9","5",
"4d4205b8-6a43-483d-ad86-d9f46095e792","10","29","33","2","4",
"6a74b231-45c8-4a96-b66f-915a0afc991d","10","33","144","32","5",
"c6597260-0ff2-4b6a-9cca-945006fa9489","10","26","74","11","3",
"0717fd2d-8008-4ed0-9bf2-9501699277ce","10","38","24","0","4",
"a1f7818b-5032-4990-b8ac-8152359d6f17","10","28","80","11","4",
"e053e844-c9e3-4309-8ebb-4363fd2eaefc","10","25","36","5","3",
"0b2bb216-3509-4e06-bd68-b6dc9c7c5c94","10","40","161","34","7",
"a4c032ef-7eb7-4418-9ec5-169322194b7d","10","33","28","0","6",
"825c7fa0-800d-4c91-b2fe-5a213873c7f3","10","40","152","31","6",
"8e904204-4fe2-4759-b8da-be5fe1c0c2db","10","36","149","32","7",
"da2bcd18-9bd1-4439-94e4-9e564a6d4dcf","15","91","268","52","9",
"25f2fef3-ae0a-4f05-89dd-c3b92192c9b1","15","78","304","63","11",
"584dca18-a784-4ca5-9538-dd94743dbf63","15","85","34","0","7",
"d814742d-288a-4a2a-b672-4ea90255643b","15","78","284","57","11",
"6f916a5a-9e08-4988-8ccf-fb986606a125","15","70","63","5","7",
"57442718-cb67-4002-b01b-d2f07c47b807","15","88","113","12","7",
"5bbe33af-cfb2-4bed-a9df-710167768e0d","15","97","221","33","8",
"17746a1e-3e8f-472f-93f8-0a91e481f89e","15","85","57","2","8",
"9baeb2f2-77d1-4036-93a4-88e1f6b02ddc","15","86","45","0","10",
"96273015-2071-4c23-badd-bfe9b587feae","15","87","223","40","7",
"445719e0-138a-4a06-8581-b6c3e51a8776","15","83","41","0","9",
"1457b4a7-928f-4e4a-ab37-e67fd8710781","15","66","196","36","9",
"0abcde64-e7a9-48f2-84a7-34adfd0bb874","15","92","78","5","9",
"77dc06cd-e606-49f3-8153-2f3cfb8ac151","15","94","130","14","9",
"e27e9877-9f3a-422d-bcb3-778b4373fa70","15","84","322","71","9",
"9c69f5c4-2648-43f1-b1ae-87b28e852b25","15","79","299","64","9",
