"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"934a8228-2e74-43df-adcf-bf9f16610125","10","38","97","15","4",
"e02ed8cd-2c72-4331-ae73-82369f65136f","10","42","97","13","5",
"7f1bc1a8-0185-4189-935f-1da45bc59eaa","10","38","40","2","5",
"d10e557a-470b-4d38-8215-3b0584f33453","10","42","160","33","8",
"5b5515b3-5b92-4020-8872-049aec5c3c85","10","38","58","5","5",
"2636daba-2e00-47f4-834b-5b8ba0d2537d","10","31","137","28","6",
"639758bc-f30b-45c5-9456-3a7fb1d92e78","10","35","21","0","4",
"a939e502-4123-40b5-8b2d-0b3130712c87","10","36","139","29","6",
"ec2f5bb8-e8e3-428e-9383-280479424dbb","10","31","109","21","5",
"ac0b5021-1629-4601-9da5-35c7d6321306","10","27","85","15","5",
"9bba2f72-d11a-4036-b7e6-8d92ccae9894","10","38","59","5","6",
"eb015563-d2e4-4d38-8549-ef83f2e12de8","10","28","111","22","5",
"b710ffb9-471e-4941-850f-437de8f206d9","10","29","41","4","3",
"61bd80e7-a357-4783-a794-4014103f1b5b","10","42","48","2","7",
"0ce16683-d84e-4633-920e-487ec5bbd5da","10","35","90","13","5",
"8271dc5d-95cf-497c-a8a4-0baf6acc58a9","10","40","78","9","5",
"6a174378-e92d-4c5c-8668-4e937491e1b7","10","31","63","7","5",
"a37eb3b7-3318-43fc-81ac-51b286e01399","10","29","127","28","5",
"c7ff0197-f01d-44e3-bce0-a8f6577ccb22","10","36","104","18","5",
"65b2a57a-8a63-481b-99e8-a50df71871f5","10","34","99","17","5",
"7c38c96d-e9d7-4d7b-b2dd-4e3deda7bd97","15","63","29","0","6",
"c900ad89-1c41-4f71-8de5-02aae3a0af93","15","87","203","34","7",
"23dbbf9c-4e46-44a7-bad7-41db7cc22686","15","94","176","22","7",
"6cec91e3-e8d5-4586-973b-f8470b52512c","15","85","184","28","6",
"7e489f7e-f897-4090-a83c-cc557507a18a","15","80","163","19","7",
"cd435dc9-82df-4bb3-b415-9d7a4ad0dd94","15","83","348","82","10",
"0f34e4c0-7f2c-49a1-92ad-b6713fa6a18e","15","81","143","19","8",
"8fa93fba-37f0-4ac9-a52e-af4f35236a00","15","75","73","3","9",
"49c2b4b9-83c4-402d-bcc0-ae4865a52afd","15","89","42","0","9",
"1f1ea1c2-2a3b-40e7-8a7e-f63e1952d2e4","15","81","162","21","7",
